ArtikelNr,Size,Quantity
PP2H00005E,37,1
PP2H00005E,38,17
PP2H00005E,39,20
PP2H00005E,40,20
PP2H00005E,41,20
PP2H00005E,42,20
PP2H00005E,43,4
PP2H00005E,44,20
PP2H00005E,45,18
PP2H00006A,37,0
PP2H00006A,38,0
PP2H00006A,39,0
PP2H00006A,40,0
PP2H00006A,41,0
PP2H00006A,42,0
PP2H00006A,43,0
PP2H00006A,44,0
PP2H00006A,45,0
PP2H00008A,37,19
PP2H00008A,38,20
PP2H00008A,39,18
PP2H00008A,40,18
PP2H00008A,41,1
PP2H00008A,42,0
PP2H00008A,43,0
PP2H00008A,44,0
PP2H00008A,45,20
PP2H00008B,37,12
PP2H00008B,38,20
PP2H00008B,39,20
PP2H00008B,40,20
PP2H00008B,41,0
PP2H00008B,42,0
PP2H00008B,43,6
PP2H00008B,44,0
PP2H00008B,45,20
PP2H00008C,37,20
PP2H00008C,38,20
PP2H00008C,39,20
PP2H00008C,40,20
PP2H00008C,41,20
PP2H00008C,42,20
PP2H00008C,43,20
PP2H00008C,44,20
PP2H00008C,45,20
PP2H00008D,37,2
PP2H00008D,38,20
PP2H00008D,39,20
PP2H00008D,40,20
PP2H00008D,41,20
PP2H00008D,42,20
PP2H00008D,43,20
PP2H00008D,44,20
PP2H00008D,45,20
PP2H00009A,37,0
PP2H00009A,38,1
PP2H00009A,39,12
PP2H00009A,40,7
PP2H00009A,41,14
PP2H00009A,42,0
PP2H00009A,43,0
PP2H00009A,44,5
PP2H00009A,45,0
PP2H00009B,37,0
PP2H00009B,38,0
PP2H00009B,39,2
PP2H00009B,40,0
PP2H00009B,41,2
PP2H00009B,42,0
PP2H00009B,43,0
PP2H00009B,44,1
PP2H00009B,45,0
PP2H00010A,37,20
PP2H00010A,38,20
PP2H00010A,39,20
PP2H00010A,40,20
PP2H00010A,41,20
PP2H00010A,42,20
PP2H00010A,43,20
PP2H00010A,44,20
PP2H00010A,45,20
PP2H00010B,37,20
PP2H00010B,38,20
PP2H00010B,39,20
PP2H00010B,40,20
PP2H00010B,41,20
PP2H00010B,42,20
PP2H00010B,43,20
PP2H00010B,44,20
PP2H00010B,45,20
PP2H00010C,37,20
PP2H00010C,38,20
PP2H00010C,39,20
PP2H00010C,40,20
PP2H00010C,41,20
PP2H00010C,42,20
PP2H00010C,43,20
PP2H00010C,44,20
PP2H00010C,45,20
PP2H00010D,37,20
PP2H00010D,38,20
PP2H00010D,39,20
PP2H00010D,40,20
PP2H00010D,41,20
PP2H00010D,42,20
PP2H00010D,43,20
PP2H00010D,44,20
PP2H00010D,45,20
PP2H00010E,37,20
PP2H00010E,38,4
PP2H00010E,39,20
PP2H00010E,40,20
PP2H00010E,41,20
PP2H00010E,42,20
PP2H00010E,43,20
PP2H00010E,44,20
PP2H00010E,45,0
PP2H00011A,37,20
PP2H00011A,38,20
PP2H00011A,39,20
PP2H00011A,40,20
PP2H00011A,41,20
PP2H00011A,42,20
PP2H00011A,43,20
PP2H00011A,44,20
PP2H00011A,45,20
PP2H00011B,37,20
PP2H00011B,38,20
PP2H00011B,39,20
PP2H00011B,40,20
PP2H00011B,41,20
PP2H00011B,42,20
PP2H00011B,43,20
PP2H00011B,44,20
PP2H00011B,45,14
PP2H00011C,37,20
PP2H00011C,38,20
PP2H00011C,39,20
PP2H00011C,40,20
PP2H00011C,41,20
PP2H00011C,42,20
PP2H00011C,43,20
PP2H00011C,44,14
PP2H00011C,45,13
PP2H00012A,37,0
PP2H00012A,38,20
PP2H00012A,39,20
PP2H00012A,40,20
PP2H00012A,41,20
PP2H00012A,42,20
PP2H00012A,43,20
PP2H00012A,44,20
PP2H00012A,45,17
PP2H00012A,46,0
PP2H00012B,37,0
PP2H00012B,38,20
PP2H00012B,39,11
PP2H00012B,40,20
PP2H00012B,41,20
PP2H00012B,42,20
PP2H00012B,43,20
PP2H00012B,44,20
PP2H00012B,45,20
PP2H00012B,46,20
PP2H00013A,37,20
PP2H00013A,38,20
PP2H00013A,39,20
PP2H00013A,40,20
PP2H00013A,41,20
PP2H00013A,42,20
PP2H00013A,43,20
PP2H00013A,44,20
PP2H00013A,45,0
PP2H00013B,37,20
PP2H00013B,38,20
PP2H00013B,39,20
PP2H00013B,40,20
PP2H00013B,41,20
PP2H00013B,42,20
PP2H00013B,43,20
PP2H00013B,44,20
PP2H00013B,45,1
PP2H00014A,37,10
PP2H00014A,38,20
PP2H00014A,39,20
PP2H00014A,40,20
PP2H00014A,41,0
PP2H00014A,42,12
PP2H00014A,43,0
PP2H00014A,44,19
PP2H00014A,45,0
PP2H00015A,37,10
PP2H00015A,38,20
PP2H00015A,39,20
PP2H00015A,40,20
PP2H00015A,41,20
PP2H00015A,42,20
PP2H00015A,43,20
PP2H00015A,44,20
PP2H00015A,45,20
PP2H00016A,37,15
PP2H00016A,38,17
PP2H00016A,39,20
PP2H00016A,40,14
PP2H00016A,41,15
PP2H00016A,42,13
PP2H00016A,43,20
PP2H00016A,44,12
PP2H00016A,45,2
PP2H00017A,37,20
PP2H00017A,38,20
PP2H00017A,39,20
PP2H00017A,40,20
PP2H00017A,41,20
PP2H00017A,42,20
PP2H00017A,43,20
PP2H00017A,44,20
PP2H00017A,45,20
PP2H00017B,37,20
PP2H00017B,38,20
PP2H00017B,39,20
PP2H00017B,40,20
PP2H00017B,41,20
PP2H00017B,42,20
PP2H00017B,43,20
PP2H00017B,44,15
PP2H00017B,45,17
PP2H00018A,37,4
PP2H00018A,38,20
PP2H00018A,39,20
PP2H00018A,40,20
PP2H00018A,41,20
PP2H00018A,42,20
PP2H00018A,43,10
PP2H00018A,44,12
PP2H00018A,45,8
PP2H00018B,37,8
PP2H00018B,38,3
PP2H00018B,39,11
PP2H00018B,40,12
PP2H00018B,41,13
PP2H00018B,42,15
PP2H00018B,43,14
PP2H00018B,44,7
PP2H00018B,45,0
PP2H00019A,37,20
PP2H00019A,38,20
PP2H00019A,39,20
PP2H00019A,40,20
PP2H00019A,41,20
PP2H00019A,42,20
PP2H00019A,43,20
PP2H00019A,44,20
PP2H00019A,45,6
PP2H00020A,37,0
PP2H00020A,38,0
PP2H00020A,39,15
PP2H00020A,40,5
PP2H00020A,41,20
PP2H00020A,42,20
PP2H00020A,43,10
PP2H00020A,44,0
PP2H00020A,45,0
PP2H00021A,37,0
PP2H00021A,38,0
PP2H00021A,39,18
PP2H00021A,40,14
PP2H00021A,41,20
PP2H00021A,42,20
PP2H00021A,43,20
PP2H00021A,44,10
PP2H00021A,45,20
PP2H00022A,37,20
PP2H00022A,38,20
PP2H00022A,39,20
PP2H00022A,40,20
PP2H00022A,41,20
PP2H00022A,42,20
PP2H00022A,43,20
PP2H00022A,44,20
PP2H00022A,45,0
PP2H00023A,37,20
PP2H00023A,38,20
PP2H00023A,39,20
PP2H00023A,40,20
PP2H00023A,41,20
PP2H00023A,42,20
PP2H00023A,43,20
PP2H00023A,44,20
PP2H00023A,45,20
PP2HC0001,37,0
PP2HC0001,38,1
PP2HC0001,39,1
PP2HC0001,40,0
PP2HC0001,41,1
PP2HC0001,42,1
PP2HC0001,43,2
PP2HC0001,44,1
PP2HC0001,45,2
PP2HC0006,37,20
PP2HC0006,38,1
PP2HC0006,39,0
PP2HC0006,40,0
PP2HC0006,41,0
PP2HC0006,42,0
PP2HC0006,43,0
PP2HC0006,44,0
PP2HC0006,45,11
PP2HC0007,37,9
PP2HC0007,38,20
PP2HC0007,39,0
PP2HC0007,40,0
PP2HC0007,41,0
PP2HC0007,42,0
PP2HC0007,43,1
PP2HC0007,44,2
PP2HC0007,45,0
PP2HC0011,37,0
PP2HC0011,38,0
PP2HC0011,39,0
PP2HC0011,40,0
PP2HC0011,41,0
PP2HC0011,42,0
PP2HC0011,43,0
PP2HC0011,44,0
PP2HC0011,45,0
PP2HC0013,37,0
PP2HC0013,38,3
PP2HC0013,39,0
PP2HC0013,40,0
PP2HC0013,41,0
PP2HC0013,42,0
PP2HC0013,43,0
PP2HC0013,44,0
PP2HC0013,45,5
PP2HC0013,46,0
PP2HC0014,37,0
PP2HC0014,38,0
PP2HC0014,39,2
PP2HC0014,40,6
PP2HC0014,41,1
PP2HC0014,42,0
PP2HC0014,43,3
PP2HC0014,44,1
PP2HC0014,45,8
PP2HC0014,46,0
PP2HC0038,37,14
PP2HC0038,38,1
PP2HC0038,39,0
PP2HC0038,40,1
PP2HC0038,41,1
PP2HC0038,42,0
PP2HC0038,43,0
PP2HC0038,44,0
PP2HC0038,45,0
PP2HC0039,37,20
PP2HC0039,38,20
PP2HC0039,39,20
PP2HC0039,40,20
PP2HC0039,41,20
PP2HC0039,42,20
PP2HC0039,43,20
PP2HC0039,44,20
PP2HC0039,45,20
PP2HC0040,37,20
PP2HC0040,38,20
PP2HC0040,39,20
PP2HC0040,40,20
PP2HC0040,41,20
PP2HC0040,42,20
PP2HC0040,43,20
PP2HC0040,44,20
PP2HC0040,45,12
PP2HC10006,37,20
PP2HC10006,38,20
PP2HC10006,39,20
PP2HC10006,40,20
PP2HC10006,41,20
PP2HC10006,42,20
PP2HC10006,43,20
PP2HC10006,44,20
PP2HC10006,45,20
PP2HC10008,37,20
PP2HC10008,38,20
PP2HC10008,39,20
PP2HC10008,40,20
PP2HC10008,41,20
PP2HC10008,42,20
PP2HC10008,43,20
PP2HC10008,44,20
PP2HC10008,45,20
PP2HC10009,37,20
PP2HC10009,38,20
PP2HC10009,39,20
PP2HC10009,40,20
PP2HC10009,41,20
PP2HC10009,42,20
PP2HC10009,43,20
PP2HC10009,44,20
PP2HC10009,45,20
PP2HC10009,M,0
PP2HC10011,37,20
PP2HC10011,38,20
PP2HC10011,39,20
PP2HC10011,40,20
PP2HC10011,41,20
PP2HC10011,42,20
PP2HC10011,43,20
PP2HC10011,44,20
PP2HC10011,45,20
PP2HC10012,37,20
PP2HC10012,38,20
PP2HC10012,39,20
PP2HC10012,40,20
PP2HC10012,41,20
PP2HC10012,42,20
PP2HC10012,43,20
PP2HC10012,44,20
PP2HC10012,45,20
PP2HC10013,37,20
PP2HC10013,38,20
PP2HC10013,39,20
PP2HC10013,40,20
PP2HC10013,41,20
PP2HC10013,42,20
PP2HC10013,43,20
PP2HC10013,44,20
PP2HC10013,45,20
PP2HC10014,37,20
PP2HC10014,38,20
PP2HC10014,39,20
PP2HC10014,40,20
PP2HC10014,41,20
PP2HC10014,42,20
PP2HC10014,43,20
PP2HC10014,44,20
PP2HC10014,45,20
PP2J00001A,20,0
PP2J00001A,L,20
PP2J00001A,M,20
PP2J00001A,S,20
PP2J00001A,XL,0
PP2J00001A,XXL,4
PP2J00001B,20,0
PP2J00001B,L,0
PP2J00001B,M,0
PP2J00001B,S,0
PP2J00001B,XL,0
PP2J00001B,XXL,1
PP2J00001C,L,20
PP2J00001C,M,6
PP2J00001C,S,6
PP2J00001C,XL,2
PP2J00001C,XXL,2
PP2J00001D,L,0
PP2J00001D,M,1
PP2J00001D,S,4
PP2J00001D,XL,20
PP2J00001D,XXL,1
PP2J00005C,20,0
PP2J00005C,L,0
PP2J00005C,M,0
PP2J00005C,S,0
PP2J00005C,XL,0
PP2J00005C,XXL,0
PP2J00007A,L,5
PP2J00007A,M,1
PP2J00007A,S,0
PP2J00007A,XL,20
PP2J00007A,XXL,10
PP2J00007B,L,20
PP2J00007B,M,20
PP2J00007B,S,20
PP2J00007B,XL,20
PP2J00007B,XXL,20
PP2J00007C,L,20
PP2J00007C,M,20
PP2J00007C,S,20
PP2J00007C,XL,20
PP2J00007C,XXL,20
PP2J00008A,L,20
PP2J00008A,M,20
PP2J00008A,S,20
PP2J00008A,XL,20
PP2J00008A,XXL,20
PP2J00008B,L,20
PP2J00008B,M,20
PP2J00008B,S,20
PP2J00008B,XL,20
PP2J00008B,XXL,20
PP2J00008C,L,20
PP2J00008C,M,20
PP2J00008C,S,20
PP2J00008C,XL,20
PP2J00008C,XXL,20
PP2J00008D,L,20
PP2J00008D,M,20
PP2J00008D,S,0
PP2J00008D,XL,20
PP2J00008D,XXL,20
PP2J00009A,L,20
PP2J00009A,M,20
PP2J00009A,S,20
PP2J00009A,XL,20
PP2J00009A,XXL,20
PP2J00009B,L,20
PP2J00009B,M,20
PP2J00009B,S,20
PP2J00009B,XL,20
PP2J00009B,XXL,20
PP2J00009C,L,20
PP2J00009C,M,20
PP2J00009C,S,20
PP2J00009C,XL,20
PP2J00009C,XXL,20
PP2J00009D,L,20
PP2J00009D,M,20
PP2J00009D,S,12
PP2J00009D,XL,20
PP2J00009D,XXL,20
PP2J00010A,L,20
PP2J00010A,M,20
PP2J00010A,S,20
PP2J00010A,XL,20
PP2J00010A,XXL,20
PP2J00010B,L,20
PP2J00010B,M,20
PP2J00010B,S,0
PP2J00010B,XL,20
PP2J00010B,XXL,20
PP2J00010C,L,20
PP2J00010C,M,20
PP2J00010C,S,20
PP2J00010C,XL,20
PP2J00010C,XXL,20
PP2J00010D,L,20
PP2J00010D,M,20
PP2J00010D,S,20
PP2J00010D,XL,20
PP2J00010D,XXL,20
PP2J00012A,L,0
PP2J00012A,M,0
PP2J00012A,S,0
PP2J00012A,XL,0
PP2J00012A,XXL,0
PP2J00012C,L,0
PP2J00012C,M,0
PP2J00012C,S,0
PP2J00012C,XL,0
PP2J00012C,XXL,0
PP2J00013A,L,20
PP2J00013A,M,20
PP2J00013A,S,20
PP2J00013A,XL,20
PP2J00013A,XXL,20
PP2J00013B,L,20
PP2J00013B,M,20
PP2J00013B,S,7
PP2J00013B,XL,20
PP2J00013B,XXL,14
PP2J00013C,L,20
PP2J00013C,M,20
PP2J00013C,S,20
PP2J00013C,XL,20
PP2J00013C,XXL,20
PP2J00013D,L,20
PP2J00013D,M,20
PP2J00013D,S,20
PP2J00013D,XL,20
PP2J00013D,XXL,17
PP2J00014A,L,20
PP2J00014A,M,20
PP2J00014A,S,20
PP2J00014A,XL,20
PP2J00014A,XXL,17
PP2J00014B,L,20
PP2J00014B,M,20
PP2J00014B,S,10
PP2J00014B,XL,19
PP2J00014B,XXL,0
PP2J00014C,L,20
PP2J00014C,M,20
PP2J00014C,S,20
PP2J00014C,XL,20
PP2J00014C,XXL,17
PP2J00014D,L,20
PP2J00014D,M,20
PP2J00014D,S,20
PP2J00014D,XL,20
PP2J00014D,XXL,15
PP5N00002B,L,0
PP5N00002B,M,0
PP5N00002B,S,0
PP5N00002B,XL,0
PP5N00002B,XXL,0
PPXD10001A,L,12
PPXD10001A,M,0
PPXD10001A,S,0
PPXD10001A,XL,20
PPXD10001A,XXL,0
PPXD10001B,L,0
PPXD10001B,M,0
PPXD10001B,S,0
PPXD10001B,XL,0
PPXD10001B,XXL,0
PPXD10001C,L,14
PPXD10001C,M,20
PPXD10001C,S,4
PPXD10001C,XL,12
PPXD10001C,XXL,3
PPXD10001F,L,0
PPXD10001F,M,0
PPXD10001F,S,0
PPXD10001F,XL,0
PPXD10001F,XXL,0
PPXD10001G,L,0
PPXD10001G,M,0
PPXD10001G,S,0
PPXD10001G,XL,0
PPXD10001G,XXL,0
PPXD10002A,L,0
PPXD10002A,M,0
PPXD10002A,S,0
PPXD10002A,XL,5
PPXD10002A,XXL,1
PPXD10002B,L,1
PPXD10002B,M,1
PPXD10002B,S,0
PPXD10002B,XL,3
PPXD10002B,XXL,2
PPXD10002C,L,0
PPXD10002C,M,0
PPXD10002C,S,0
PPXD10002C,XL,0
PPXD10002C,XXL,0
PPXD10003A,L,20
PPXD10003A,M,20
PPXD10003A,S,20
PPXD10003A,XL,20
PPXD10003A,XXL,15
PPXD10003B,L,20
PPXD10003B,M,20
PPXD10003B,S,8
PPXD10003B,XL,20
PPXD10003B,XXL,1
PPXD10003C,L,20
PPXD10003C,M,20
PPXD10003C,S,16
PPXD10003C,XL,20
PPXD10003C,XXL,2
PPXD10003D,L,20
PPXD10003D,M,20
PPXD10003D,S,0
PPXD10003D,XL,20
PPXD10003D,XXL,20
PPXD10003E,L,1
PPXD10003E,M,0
PPXD10003E,S,0
PPXD10003E,XL,20
PPXD10003E,XXL,4
PPXD10005A,L,0
PPXD10005A,M,0
PPXD10005A,S,0
PPXD10005A,XL,0
PPXD10005A,XXL,0
PPXD10005C,L,0
PPXD10005C,M,0
PPXD10005C,S,0
PPXD10005C,XL,0
PPXD10005C,XXL,0
PPXD10006A,L,20
PPXD10006A,M,20
PPXD10006A,S,10
PPXD10006A,XL,20
PPXD10006A,XXL,17
PPXD10006C,L,20
PPXD10006C,M,20
PPXD10006C,S,0
PPXD10006C,XL,20
PPXD10006C,XXL,8
PPXD10006D,L,20
PPXD10006D,M,20
PPXD10006D,S,0
PPXD10006D,XL,20
PPXD10006D,XXL,0
PPXD10007A,L,0
PPXD10007A,M,0
PPXD10007A,S,0
PPXD10007A,XL,0
PPXD10007A,XXL,0
PPXD10007B,L,0
PPXD10007B,M,20
PPXD10007B,S,0
PPXD10007B,XL,14
PPXD10007B,XXL,0
PPXD10007C,L,0
PPXD10007C,M,0
PPXD10007C,S,0
PPXD10007C,XL,0
PPXD10007C,XXL,0
PPXD10007D,L,20
PPXD10007D,M,20
PPXD10007D,S,20
PPXD10007D,XL,20
PPXD10007D,XXL,0
PPXD10007E,L,20
PPXD10007E,M,20
PPXD10007E,S,0
PPXD10007E,XL,9
PPXD10007E,XXL,0
PPXD10007F,L,20
PPXD10007F,M,20
PPXD10007F,S,20
PPXD10007F,XL,0
PPXD10007F,XXL,0
PPXD10007G,L,20
PPXD10007G,M,20
PPXD10007G,S,8
PPXD10007G,XL,20
PPXD10007G,XXL,0
PPXD10007I,L,1
PPXD10007I,M,1
PPXD10007I,S,1
PPXD10007I,XL,0
PPXD10007I,XXL,0
PPXD10007J,L,0
PPXD10007J,M,0
PPXD10007J,S,0
PPXD10007J,XL,0
PPXD10007J,XXL,0
PPXD10008B,L,0
PPXD10008B,M,0
PPXD10008B,S,1
PPXD10008B,XL,0
PPXD10008B,XXL,1
PPXD10009A,L,20
PPXD10009A,M,20
PPXD10009A,S,20
PPXD10009A,XL,20
PPXD10009A,XXL,0
PPXD10009B,L,0
PPXD10009B,M,0
PPXD10009B,S,0
PPXD10009B,XL,0
PPXD10009B,XXL,0
PPXD10009C,L,10
PPXD10009C,M,12
PPXD10009C,S,0
PPXD10009C,XL,20
PPXD10009C,XXL,1
PPXD10009D,L,20
PPXD10009D,M,20
PPXD10009D,S,0
PPXD10009D,XL,6
PPXD10009D,XXL,0
PPXD10010B,L,0
PPXD10010B,M,0
PPXD10010B,S,0
PPXD10010B,XL,0
PPXD10010B,XXL,0
PPXD10010C,L,0
PPXD10010C,M,0
PPXD10010C,S,0
PPXD10010C,XL,0
PPXD10010C,XXL,0
PPXD10011A,L,20
PPXD10011A,M,20
PPXD10011A,S,1
PPXD10011A,XL,19
PPXD10011A,XXL,0
PPXD10011B,L,0
PPXD10011B,M,0
PPXD10011B,S,0
PPXD10011B,XL,0
PPXD10011B,XXL,0
PPXD10011C,L,20
PPXD10011C,M,20
PPXD10011C,S,2
PPXD10011C,XL,20
PPXD10011C,XXL,3
PPXD10011D,L,20
PPXD10011D,M,20
PPXD10011D,S,7
PPXD10011D,XL,12
PPXD10011D,XXL,0
PPXD10011E,L,19
PPXD10011E,M,20
PPXD10011E,S,5
PPXD10011E,XL,19
PPXD10011E,XXL,0
PPXD10012B,L,0
PPXD10012B,M,0
PPXD10012B,S,0
PPXD10012B,XL,0
PPXD10012B,XXL,0
PPXD10012C,L,0
PPXD10012C,M,0
PPXD10012C,S,0
PPXD10012C,XL,0
PPXD10012C,XXL,0
PPXD10012E,L,0
PPXD10012E,M,0
PPXD10012E,S,2
PPXD10012E,XL,0
PPXD10012E,XXL,1
PPXD10012F,L,0
PPXD10012F,M,0
PPXD10012F,S,0
PPXD10012F,XL,0
PPXD10012F,XXL,0
PPXD10014B,L,0
PPXD10014B,M,0
PPXD10014B,S,0
PPXD10014B,XL,0
PPXD10014B,XXL,0
PPXD10016A,L,20
PPXD10016A,M,20
PPXD10016A,S,20
PPXD10016A,XL,20
PPXD10016A,XXL,1
PPXD10016B,L,20
PPXD10016B,M,20
PPXD10016B,S,20
PPXD10016B,XL,20
PPXD10016B,XXL,8
PPXD10016C,L,20
PPXD10016C,M,20
PPXD10016C,S,15
PPXD10016C,XL,20
PPXD10016C,XXL,6
PPXD10016D,L,20
PPXD10016D,M,20
PPXD10016D,S,1
PPXD10016D,XL,20
PPXD10016D,XXL,2
PPXD10016E,L,20
PPXD10016E,M,20
PPXD10016E,S,20
PPXD10016E,XL,20
PPXD10016E,XXL,14
PPXD10016F,L,20
PPXD10016F,M,20
PPXD10016F,S,20
PPXD10016F,XL,20
PPXD10016F,XXL,5
PPXD10017A,L,20
PPXD10017A,M,20
PPXD10017A,S,9
PPXD10017A,XL,20
PPXD10017A,XXL,7
PPXD10017B,L,20
PPXD10017B,M,13
PPXD10017B,S,2
PPXD10017B,XL,20
PPXD10017B,XXL,5
PPXD10017C,L,20
PPXD10017C,M,20
PPXD10017C,S,20
PPXD10017C,XL,20
PPXD10017C,XXL,10
PPXD10018A,L,20
PPXD10018A,M,20
PPXD10018A,S,18
PPXD10018A,XL,20
PPXD10018A,XXL,2
PPXD10018B,L,20
PPXD10018B,M,20
PPXD10018B,S,10
PPXD10018B,XL,20
PPXD10018B,XXL,3
PPXD10019A,L,0
PPXD10019A,M,1
PPXD10019A,S,1
PPXD10019A,XL,1
PPXD10019A,XXL,1
PPXD10019C,L,1
PPXD10019C,M,2
PPXD10019C,S,0
PPXD10019C,XL,14
PPXD10019C,XXL,0
PPXD10019D,L,20
PPXD10019D,M,20
PPXD10019D,S,10
PPXD10019D,XL,20
PPXD10019D,XXL,1
PPXD10019E,L,0
PPXD10019E,M,0
PPXD10019E,S,0
PPXD10019E,XL,0
PPXD10019E,XXL,0
PPXD10019J,L,2
PPXD10019J,M,0
PPXD10019J,S,1
PPXD10019J,XL,1
PPXD10019J,XXL,0
PPXD10019K,L,1
PPXD10019K,M,2
PPXD10019K,S,5
PPXD10019K,XL,1
PPXD10019K,XXL,1
PPXD10019L,L,2
PPXD10019L,M,20
PPXD10019L,S,20
PPXD10019L,XL,20
PPXD10019L,XXL,1
PPXD10019M,L,20
PPXD10019M,M,20
PPXD10019M,S,3
